BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
103,6/7/2022,Auto Refinance,VEHICLE,Refinance,4278.79,4388.1,4388.1,APPROVED,,6/14/2022,6/14/2022,6/14/2022,P,TX,726,CAR,58725,0,3 YR USED,1.tov-Vehicle T2,66,13,1,12.693,721.85,25,2.08,
617,6/7/2022,Auto Refinance,VEHICLE,Refinance,34,34227.35,34227.35,APPROVED,,6/9/2022,6/9/2022,,C,TX,704,CAR,35825,0,3 yr USED,,66,7,2,32.433,608.05,12,1,
617,6/7/2022,Auto Refinance,VEHICLE,Refinance,34,34227.35,34227.35,APPROVED,,6/9/2022,6/9/2022,,P,TX,717,CAR,35825,0,3 yr USED,1.tov-Vehicle T2,66,7,2,32.433,608.05,12,1,
655,6/7/2022,Auto Refinance,VEHICLE,Refinance,135,15334.25,15334.25,APPROVED,,6/11/2022,6/11/2022,6/8/2022,P,TX,682,CAR,15625,0,6-10 YR USED,1.tov-Vehicle T3,36,2,926.78,44.196,506.6,13,1.08,
487,6/7/2022,Auto Refinance,VEHICLE,Refinance,5,51796.3,51796.3,APPROVED,,6/9/2022,6/9/2022,,P,TX,650,CAR,53025,0,2 yr USED,1.tov-Vehicle T3,66,7,1,20.842,946.66,204,17,
879,6/7/2022,Auto Refinance,VEHICLE,Refinance,1586.75,15928.53,15928.53,APPROVED,,6/8/2022,6/8/2022,6/10/2022,P,TX,744,CAR,26150,0,2 YR USED,1.tov-Vehicle T2,66,2,419.05,14.059,281.5,12,1,
929,6/7/2022,Auto Refinance,VEHICLE,Refinance,3,29656.27,29656.27,APPROVED,,6/8/2022,6/8/2022,,P,AZ,658,CAR,32150,0,4 YR USED,1.tov-Vehicle T3,54,4,1,40.516,657.76,272,22.67,
687,6/7/2022,Other Secured Loan,VEHICLE,Bills,4,433,433,APPROVED,,6/8/2022,6/8/2022,6/8/2022,P,TX,647,CAR,12900,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,5,545.42,10.198,159.4,18,1.5,
912,6/7/2022,Auto Refinance,VEHICLE,Refinance,11,11136.8,11136.8,APPROVED,,6/8/2022,6/8/2022,6/8/2022,P,AZ,708,CAR,21400,0,3 YR USED,1.tov-Vehicle T2,60,7,1,25.817,215.2,50,4.17,
781,6/8/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,2399,25817.6,25817.6,APPROVED,,6/9/2022,6/9/2022,,P,TX,698,CAR,24575,0,2 YR USED,1.tov-Vehicle T3,66,10,870.85,8.639,471.85,48,4,
103,6/8/2022,Auto Refinance,VEHICLE,Refinance,36978.74,3586.5,3586.5,APPROVED,,6/8/2022,6/8/2022,,P,TX,636,CAR,30650,0,4 YR USED,1.tov-Vehicle T3,54,13,3,28.384,857.27,59,4.92,
